cultivar,set_id,healthy_weight_g_control,healthy_weight_g_otc,pct_rotten_count_control,pct_rotten_count_otc,pct_rotten_weight_control,pct_rotten_weight_otc,plot_id_control,plot_id_otc,healthy_weight_diff,pct_rotten_count_diff,pct_rotten_weight_diff
MQ,11,922.96,965.46,0.0723140495867768,0.0433884297520661,0.0554185301552537,0.0220218800648298,13.0,9.0,42.5,-0.028925619834710696,-0.033396650090423904
MQ,12,853.13,887.56,0.0970464135021097,0.0239651416122004,0.0780561078931443,0.0152992733122538,14.0,10.0,34.42999999999995,-0.0730812718899093,-0.0627568345808905
MQ,13,911.06,693.62,0.1039697542533081,0.0737913486005089,0.0619427112291756,0.0611150967148097,15.0,11.0,-217.43999999999994,-0.030178405652799195,-0.0008276145143659014
MQ,14,1156.85,793.71,0.0507936507936507,0.0541176470588235,0.022864720589229,0.017867970055064,16.0,12.0,-363.1399999999999,0.003323996265172796,-0.004996750534165002
St,7,576.22,766.51,0.1288515406162464,0.0774647887323943,0.0178961003545132,0.0238401487462272,5.0,1.0,190.28999999999996,-0.0513867518838521,0.005944048391713998
St,8,701.09,584.99,0.127906976744186,0.0240963855421686,0.0362891586138641,0.0025065648126044,6.0,2.0,-116.10000000000002,-0.1038105912020174,-0.0337825938012597
St,9,747.76,707.63,0.0920770877944325,0.0721153846153846,0.0101269509273109,0.0104322532828035,7.0,3.0,-40.129999999999995,-0.0199617031790479,0.00030530235549259925
St,10,700.15,676.43,0.0652741514360313,0.0518867924528301,0.0080472635053766,0.0163307448448361,8.0,4.0,-23.720000000000027,-0.013387358983201196,0.008283481339459501
