model_name,optimizer,outcome,term,estimate,std_error,z_value,p_value,ci_low,ci_high,n_obs,n_groups,converged,log_likelihood,aic,bic
longterm_mixedlm,lbfgs,healthy_weight_g,Intercept,961.0000000000006,45.453003119292404,21.14271740148467,3.2199411734403915e-99,871.9137508970007,1050.0862491030005,16,8,True,-94.84231258528362,201.68462517056724,206.32015750400592
longterm_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St],-279.6950000000006,64.2802534618899,-4.351180727154795,1.3540638277019912e-05,-405.68198170241095,-153.70801829759029,16,8,True,-94.84231258528362,201.68462517056724,206.32015750400592
longterm_mixedlm,lbfgs,healthy_weight_g,C(heat_trt)[T.OTC],-125.91250000000012,62.094191920514085,-2.0277661421406203,0.04258412146190556,-247.61487981332573,-4.2101201866745015,16,8,True,-94.84231258528362,201.68462517056724,206.32015750400592
longterm_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(heat_trt)[T.OTC],128.49749999999992,87.81444835858889,1.4632842590467852,0.14338961311617826,-43.61565610508677,300.6106561050866,16,8,True,-94.84231258528362,201.68462517056724,206.32015750400592
longterm_mixedlm,lbfgs,healthy_weight_g,Group Var,0.07165057619769487,1.355023263515522,0.05287774618112606,0.9578293155599863,-2.584146218506655,2.727447370902045,16,8,True,-94.84231258528362,201.68462517056724,206.32015750400592
longterm_mixedlm,lbfgs,pct_rotten_count,Intercept,0.08103096703396129,0.01093771356600739,7.408400900695751,1.2783138049858205e-13,0.05959344237137164,0.10246849169655094,16,8,True,38.45524460303129,-64.91048920606258,-60.27495687262389
longterm_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St],0.02249647211376273,0.01546826286639984,1.4543631892000983,0.14584563995169403,-0.00782076600777926,0.05281371023530472,16,8,True,38.45524460303129,-64.91048920606258,-60.27495687262389
longterm_mixedlm,lbfgs,pct_rotten_count,C(heat_trt)[T.OTC],-0.03221532527806158,0.015468262861146468,-2.082672473777308,0.03728108814622423,-0.06253256338930714,-0.0018980871668160086,16,8,True,38.45524460303129,-64.91048920606258,-60.27495687262389
longterm_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St]:C(heat_trt)[T.OTC],-0.014921276033968048,0.02187542712458539,-0.6821021573196301,0.49517435658714537,-0.05779632534458601,0.027953773276649913,16,8,True,38.45524460303129,-64.91048920606258,-60.27495687262389
longterm_mixedlm,lbfgs,pct_rotten_count,Group Var,6.792452083970587e-10,0.3741222753496655,1.8155700773556356e-09,0.9999999985513847,-0.7332661848202765,0.7332661861787669,16,8,True,38.45524460303129,-64.91048920606258,-60.27495687262389
longterm_mixedlm,lbfgs,pct_rotten_weight,Intercept,0.054570517466700684,0.0076486302379252,7.134678467801538,9.701366709319769e-13,0.03957947766930327,0.0695615572640981,16,8,True,44.181869218044994,-76.36373843608999,-71.7282061026513
longterm_mixedlm,lbfgs,pct_rotten_weight,C(cultivar)[T.St],-0.036480649116434484,0.01081679661605077,-3.372592682597154,0.0007446402016373905,-0.05768118091198872,-0.015280117320880245,16,8,True,44.181869218044994,-76.36373843608999,-71.7282061026513
longterm_mixedlm,lbfgs,pct_rotten_weight,C(heat_trt)[T.OTC],-0.02549446242996135,0.01065377157631263,-2.392998784265771,0.016711296460306068,-0.046375471019050624,-0.004613453840872073,16,8,True,44.181869218044994,-76.36373843608999,-71.7282061026513
longterm_mixedlm,lbfgs,pct_rotten_weight,C(cultivar)[T.St]:C(heat_trt)[T.OTC],0.02068202200131295,0.015066708253646309,1.3726967863937816,0.169846628655707,-0.008848183541406186,0.05021222754403209,16,8,True,44.181869218044994,-76.36373843608999,-71.7282061026513
longterm_mixedlm,lbfgs,pct_rotten_weight,Group Var,0.03083834696449364,0.3753711420078159,0.08215428282404173,0.9345240275173123,-0.7048755722064957,0.7665522661354829,16,8,True,44.181869218044994,-76.36373843608999,-71.7282061026513
