model_name,optimizer,outcome,term,estimate,std_error,z_value,p_value,ci_low,ci_high,n_obs,n_groups,converged,log_likelihood,aic,bic
acute_mixedlm,lbfgs,healthy_weight_g,Intercept,828.9100000000022,75.60250721377658,10.964054375288695,5.689216244801424e-28,680.7318087200705,977.088191279934,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St],-35.5566666666688,106.91809105113262,-0.332559871927232,0.7394665382912053,-245.11227442266298,173.99894108932537,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(heat_level)[T.B],28.49999999999778,106.91809105113262,0.2665591923668737,0.7898085788023232,-181.0556077559964,238.05560775599196,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(heat_level)[T.C],-46.11333333333553,106.91809105113259,-0.43129589090102866,0.6662532377576837,-255.66894108932965,163.44227442265858,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(heat_level)[T.D],138.7033333333308,106.91809105113265,1.2972859126992562,0.19453282964824004,-70.85227442266344,348.25894108932505,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(is_control)[T.1],225.69333333332835,100.33759178121205,2.2493397472151493,0.024490888841358652,29.035267146670606,422.3513995199861,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(heat_level)[T.B],82.53666666666916,151.20501442755324,0.5458593220545268,0.5851626419328468,-213.81971589319446,378.89304922653275,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(heat_level)[T.C],84.98666666666904,151.2050144275532,0.5620624883931258,0.5740734448466116,-211.36971589319452,381.34304922653257,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(heat_level)[T.D],-122.07999999999694,151.20501442755327,-0.8073806312719148,0.41944722240177856,-418.4363825598606,174.27638255986673,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(is_control)[T.1],-99.96666666666141,141.89878311284517,-0.7044927692379349,0.4811259514955104,-378.08317101789834,178.14983768457552,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(heat_level)[T.B]:C(is_control)[T.1],-25.133333333328103,141.89878311284525,-0.17712155652061354,0.8594129099667432,-303.2498376845652,252.983171017909,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(heat_level)[T.C]:C(is_control)[T.1],24.176666666671778,141.8987831128452,0.17037966173004634,0.8647115658696877,-253.9398376845652,302.2931710179088,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(heat_level)[T.D]:C(is_control)[T.1],-99.59999999999447,141.89878311284522,-0.7019087677502309,0.4827360607038599,-377.7165043512315,178.5165043512426,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(heat_level)[T.B]:C(is_control)[T.1],-173.14666666667233,200.675183562424,-0.8628205221639258,0.3882361539567948,-566.4627990399877,220.16946570664294,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(heat_level)[T.C]:C(is_control)[T.1],33.319999999994614,200.6751835624239,0.16603946441454123,0.8681258930941547,-359.9961323733205,426.6361323733097,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
