model_name,outcome,term,estimate,std_error,t_value,p_value,ci_low,ci_high,n_obs,r_squared
acute_pair_diff,healthy_weight_diff,Intercept,-225.69333333333324,122.88852704449941,-1.836569603048517,0.08492311871766445,-486.20537302843206,34.81870636176561,24,0.23140837682183113
acute_pair_diff,healthy_weight_diff,C(heat_level)[T.B],25.133333333333297,173.7906216063839,0.1446184673316691,0.8868181173033207,-343.28632636495354,393.5529930316201,24,0.23140837682183113
acute_pair_diff,healthy_weight_diff,C(heat_level)[T.C],-24.17666666666655,173.79062160638392,-0.13911375909238624,0.8910962260017847,-392.5963263649534,344.2429930316203,24,0.23140837682183113
acute_pair_diff,healthy_weight_diff,C(heat_level)[T.D],99.59999999999994,173.7906216063839,0.5731034222639624,0.5745416159914845,-268.81965969828684,468.0196596982868,24,0.23140837682183113
acute_pair_diff,healthy_weight_diff,C(cultivar)[T.St],99.96666666666664,173.7906216063839,0.5752132407528862,0.5731480796731427,-268.45299303162017,468.38632636495345,24,0.23140837682183113
acute_pair_diff,healthy_weight_diff,C(heat_level)[T.B]:C(cultivar)[T.St],173.14666666666653,245.77705408899877,0.7044867036447108,0.4912576245013658,-347.87741272353105,694.1707460568641,24,0.23140837682183113
acute_pair_diff,healthy_weight_diff,C(heat_level)[T.C]:C(cultivar)[T.St],-33.320000000000036,245.77705408899888,-0.13557001943694247,0.8938521722294142,-554.3440793901979,487.70407939019776,24,0.23140837682183113
acute_pair_diff,healthy_weight_diff,C(heat_level)[T.D]:C(cultivar)[T.St],-177.93000000000006,245.7770540889988,-0.7239487862669617,0.47954940614214125,-698.9540793901978,343.09407939019763,24,0.23140837682183113
acute_pair_diff,pct_rotten_count_diff,Intercept,0.11225824387380658,0.05836564127292743,1.9233617831571215,0.07241558124128353,-0.011471388353104836,0.23598787610071797,24,0.26928089123234444
acute_pair_diff,pct_rotten_count_diff,C(heat_level)[T.B],-0.00877867076028415,0.08254148146477681,-0.10635465470813363,0.9166230356567573,-0.1837587947230174,0.16620145320244908,24,0.26928089123234444
acute_pair_diff,pct_rotten_count_diff,C(heat_level)[T.C],0.04353339145876114,0.08254148146477684,0.5274122863585659,0.605144327363224,-0.13144673250397215,0.21851351542149444,24,0.26928089123234444
acute_pair_diff,pct_rotten_count_diff,C(heat_level)[T.D],0.04082083456991601,0.08254148146477683,0.49454933259630923,0.6276398567752316,-0.13415928939281727,0.21580095853264927,24,0.26928089123234444
acute_pair_diff,pct_rotten_count_diff,C(cultivar)[T.St],0.034284707200753925,0.08254148146477681,0.4153633614558317,0.6833927688351915,-0.14069541676197933,0.20926483116348715,24,0.26928089123234444
acute_pair_diff,pct_rotten_count_diff,C(heat_level)[T.B]:C(cultivar)[T.St],-0.10243077098512575,0.11673128254585483,-0.8774920377053897,0.3932052053986673,-0.34989003543894853,0.145028493468697,24,0.26928089123234444
acute_pair_diff,pct_rotten_count_diff,C(heat_level)[T.C]:C(cultivar)[T.St],-0.17202822245016755,0.1167312825458549,-1.4737114053603468,0.15996112996852857,-0.4194874869039905,0.07543104200365539,24,0.26928089123234444
acute_pair_diff,pct_rotten_count_diff,C(heat_level)[T.D]:C(cultivar)[T.St],-0.04979653500199198,0.11673128254585485,-0.4265911751841731,0.6753614242960949,-0.2972557994558148,0.19766272945183083,24,0.26928089123234444
acute_pair_diff,pct_rotten_weight_diff,Intercept,0.08083713313291224,0.05542272022977626,1.4585558557532132,0.16403864562423523,-0.036653785179434004,0.1983280514452585,24,0.23234430484304902
acute_pair_diff,pct_rotten_weight_diff,C(heat_level)[T.B],0.004137917121912291,0.07837956261255925,0.052793317339196864,0.9585501211793349,-0.16201933301107713,0.17029516725490168,24,0.23234430484304902
acute_pair_diff,pct_rotten_weight_diff,C(heat_level)[T.C],0.035914243446629246,0.07837956261255927,0.45820928631814634,0.6529640035478148,-0.13024300668636019,0.20207149357961868,24,0.23234430484304902
acute_pair_diff,pct_rotten_weight_diff,C(heat_level)[T.D],0.07148918537668915,0.07837956261255927,0.9120896186939677,0.37525992425964205,-0.09466806475630028,0.23764643550967857,24,0.23234430484304902
acute_pair_diff,pct_rotten_weight_diff,C(cultivar)[T.St],0.011718914890696867,0.07837956261255925,0.14951493093454787,0.8830157512111201,-0.15443833524229253,0.17787616502368628,24,0.23234430484304902
acute_pair_diff,pct_rotten_weight_diff,C(heat_level)[T.B]:C(cultivar)[T.St],-0.0739234418083964,0.11084544045955248,-0.66690557141474,0.5143357479840158,-0.3089052784330888,0.16105839481629597,24,0.23234430484304902
acute_pair_diff,pct_rotten_weight_diff,C(heat_level)[T.C]:C(cultivar)[T.St],-0.09639618496366971,0.11084544045955254,-0.8696450170978809,0.3973534695922901,-0.3313780215883622,0.13858565166102282,24,0.23234430484304902
acute_pair_diff,pct_rotten_weight_diff,C(heat_level)[T.D]:C(cultivar)[T.St],-0.02625416097826977,0.1108454404595525,-0.23685377467420424,0.8157760511242513,-0.2612359976029622,0.20872767564642264,24,0.23234430484304902
