model_name,optimizer,term,estimate,std_error,z_value,p_value,ci_low,ci_high,n_obs,n_groups,converged,log_likelihood,aic,bic
acute_mixedlm,lbfgs,Intercept,1844.1713588286857,107.80149587970247,17.107103605376942,1.3137172445637325e-65,1632.8843094249257,2055.4584082324454,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.B],-208.76922247898582,152.45433751718252,-1.3693885387515214,0.1708778549728739,-507.57423329957714,90.03578834160547,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.C],-140.69016591175244,152.45433751718247,-0.9228347858315009,0.3560933098447703,-439.4951767323436,158.11484490883873,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.D],-373.5123767747184,152.4543375171825,-2.4499950795602743,0.014285816688732711,-672.3173875953096,-74.70736595412717,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(cultivar)[T.St],-233.04829279139193,152.45433751718244,-1.5286432422109741,0.12635290989034678,-531.853303611983,65.75671802919919,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(is_control)[T.1],335.4205014236275,149.48222461353097,2.243882189275805,0.02483998239687494,42.44072485217998,628.400277995075,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.B]:C(cultivar)[T.St],-40.74088664398099,215.60299175940483,-0.18896252928365884,0.8501221849595224,-463.31498545150055,381.8332121635385,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.C]:C(cultivar)[T.St],-162.51602661640382,215.60299175940477,-0.7537744503924062,0.45098466811831395,-585.0901254239233,260.05807219111557,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.D]:C(cultivar)[T.St],133.88700526618956,215.6029917594048,0.6209886243860495,0.5346071078980403,-288.6870935413299,556.4611040737091,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.B]:C(is_control)[T.1],-205.87463430231037,211.3997893821568,-0.973863951823252,0.33012409448631597,-620.2106078306906,208.46133922606987,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.C]:C(is_control)[T.1],-350.3529760155657,211.3997893821567,-1.6573004970322707,0.09745873687916234,-764.6889495439457,63.98299751281439,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.D]:C(is_control)[T.1],-143.92429848145673,211.39978938215674,-0.6808157136868213,0.49598810584899233,-558.2602720098369,270.4116750469234,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(cultivar)[T.St]:C(is_control)[T.1],-687.1777494371013,211.39978938215677,-3.250607540553693,0.0011515870594031147,-1101.5137229654815,-272.8417759087211,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.B]:C(cultivar)[T.St]:C(is_control)[T.1],537.2248478232909,298.9644492270619,1.79695227714273,0.0723431963066491,-48.73470531960402,1123.1844009661859,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.C]:C(cultivar)[T.St]:C(is_control)[T.1],886.8032936016522,298.9644492270618,2.966249986894362,0.00301455347283435,300.84374045875745,1472.762846744547,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,C(heat_level)[T.D]:C(cultivar)[T.St]:C(is_control)[T.1],605.9943880628019,298.96444922706183,2.026978089299683,0.04266465349441707,20.034834919907098,1191.9539412056968,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
acute_mixedlm,lbfgs,Group Var,0.04016075827922776,0.43059193284114405,0.09326871967674333,0.9256900818147981,-0.8037839221229044,0.8841054386813598,48,24,True,-319.1118359256775,674.223671851355,707.905290047697
