cultivar,set_id,Control,OTC,concentration_diff
MQ,11.0,1635.537926237644,1641.6351379651005,6.097211727456624
MQ,12.0,1827.6828996770375,1884.0879777528107,56.40507807577319
MQ,13.0,1642.9586864078456,2146.7660060183844,503.8073196105388
MQ,14.0,2042.1212153902136,2301.9073459052547,259.7861305150411
St,7.0,1506.5102317888034,1050.6856817743517,-455.8245500144517
St,8.0,1490.9040051975842,1523.9443742189524,33.04036902136818
St,9.0,1334.4671510415371,1269.2315740414924,-65.23557700004471
St,10.0,1733.0313312428782,1722.6191516091474,-10.41217963373083
