Date,Sample ID,Tube#,concentration_rep1,concentration_rep2,concentration_rep3,experiment,cultivar,plot_id,set_id,treatment_raw,heat_level,is_control,replicate,mean_concentration
2025-01-08,STCC2,34,1422.9280619262404,1538.5415353586295,1474.550451511584,acute,St,,,CC,C,1,2.0,1478.673349598818
2025-01-08,MQCC2,35,1763.330454530917,1528.6776755325866,1612.1868865331783,acute,MQ,,,CC,C,1,2.0,1634.7316721988939
2025-01-09,STA01,36,1373.6419311222473,1569.3577924698159,1378.8247024365937,acute,St,,,A0,A0,0,1.0,1440.6081420095525
2025-01-09,STBC1,37,1423.4311620138405,1491.6348511655356,1681.1553561413361,acute,St,,,BC,B,1,1.0,1532.0737897735708
2025-01-09,MQA0C2,38,1523.0096237970267,1919.1110283390774,2129.775035832244,acute,MQ,,,A0C,A0,1,2.0,1857.298562656116
2025-01-09,STB2,39,1383.599777300566,1491.6348511655356,1447.0929145634707,acute,St,,,B,B,0,2.0,1440.775847676524
2025-01-09,MQAC3,40,1911.365624751453,1802.5266163826566,1905.46519598679,acute,MQ,,,AC,A,1,3.0,1873.1191457069665
2025-01-09,MQA01,41,2857.3610116917225,1783.0958810565867,1973.7334081136673,acute,MQ,,,A0,A0,0,1.0,2204.730100287325
2025-01-09,STLT2,42,1652.461624115169,1452.7733805133953,1466.598118028293,longterm,St,2.0,8.0,OTC,,0,,1523.9443742189524
2025-01-09,MQLT12,43,2429.173626024021,2298.0103671974443,2178.5380444942994,longterm,MQ,12.0,14.0,OTC,,0,,2301.9073459052547
2025-01-09,MQLT13,44,1841.6607015032223,1637.3653661110611,1427.587711098649,longterm,MQ,13.0,11.0,Control,,1,,1635.537926237644
2025-01-09,STA0C2,45,985.2859301678212,1316.7582332309048,1349.5668972393605,acute,St,,,A0C,A0,1,2.0,1217.2036868793623
2025-01-09,MQCC2,46,1891.4499323948155,1870.534190023902,2149.280239297066,acute,MQ,,,CC,C,1,2.0,1970.4214539052612
2025-01-09,MQDC2,47,1682.3351626501246,1676.2268367632012,1622.6397457468697,acute,MQ,,,DC,D,1,2.0,1660.400581720065
2025-01-09,MQD2,48,1234.232084625787,1316.7582332309048,1281.2986851124833,acute,MQ,,,D,D,0,2.0,1277.4296676563918
2025-01-09,MQA1,49,2160.3117792094185,1967.6878666542527,1954.2282046488453,acute,MQ,,,A,A,0,1.0,2027.4092835041722
2025-01-13,STA3,50,1924.1037034382691,1875.3579899850674,1840.1824881558184,acute,St,,,A,A,0,3.0,1879.8813938597184
2025-01-13,STAC2,51,1183.8460573701486,1116.4367917069333,1104.2288120722949,acute,St,,,AC,A,1,2.0,1134.8372203831257
2025-01-13,MQC3,52,2226.9363768297726,1886.3568479311275,2180.6983681347624,acute,MQ,,,C,C,0,3.0,2097.997197631888
2025-01-13,MQA3,53,1957.7517782595476,1831.3625582008276,1884.1200210563272,acute,MQ,,,A,A,0,3.0,1891.0781191722342
2025-01-13,STA01,54,1587.622955225487,148.5372924536606,1565.5729075276377,acute,St,,,A0,A0,0,1.0,1100.5777184022618
2025-01-13,STDC2,55,1666.1351298084694,1578.3888254414499,1642.4635901035285,acute,St,,,DC,D,1,2.0,1628.9958484511492
2025-01-13,MQBC1,56,1778.29537921273,1677.378546955989,1741.3230391296736,acute,MQ,,,BC,B,1,1.0,1732.332321766131
2025-01-13,MQA2,57,1621.2710300467652,1545.3922516032699,1675.4167397789101,acute,MQ,,,A,A,0,2.0,1614.0266738096482
2025-01-13,STB1,58,1262.358231953131,1292.418518843892,1268.9945604492032,acute,St,,,B,B,0,1.0,1274.5904370820754
2025-01-13,MQD1,59,1800.7274290935823,1633.383115171749,1620.4948236532741,acute,MQ,,,D,D,0,1.0,1684.8684559728688
2025-01-13,STLT7,60,1453.0306559403743,1248.423087059652,1301.9477101245848,longterm,St,7.0,9.0,Control,,1,,1334.4671510415371
2025-01-13,STA2,61,1565.1909053446348,1479.3991039269104,1290.9633268994576,acute,St,,,A,A,0,2.0,1445.184445390334
2025-01-13,MQBC3,62,1722.2152545105998,1578.3888254414499,1510.650991402002,acute,MQ,,,BC,B,1,3.0,1603.7516904513504
2025-01-13,STD2,63,1643.7030799276172,1270.4208029517717,1411.7915423758568,acute,St,,,D,D,0,2.0,1441.971808418415
2025-01-14,STCD3,64,1254.5041999128475,1324.613267605209,1253.4705783533664,acute,St,,,DC,D,1,3.0,1277.5293486238077
2025-01-14,STCC1,65,1536.7022795233602,1551.7987025751927,1473.357870462287,acute,St,,,CC,C,1,1.0,1520.6196175202801
2025-01-14,STC3,66,1151.0315707223263,1211.0205501202172,1119.6261396783716,acute,St,,,C,C,0,3.0,1160.5594201736383
2025-01-14,STBC2,67,1132.218365414959,1182.6223707489692,1138.7467737747995,acute,St,,,BC,B,1,2.0,1151.1958366462425
2025-01-14,STC2,68,1282.7240078738987,1296.2150882339608,1253.4705783533664,acute,St,,,C,C,0,2.0,1277.4698914870753
2025-01-14,MQB2,69,1753.0541405580861,1816.8483767068406,1741.046747812277,acute,MQ,,,B,B,0,2.0,1770.3164216924013
2025-01-14,STA03,70,1489.6692662549415,1504.4684036231129,1463.797553414073,acute,St,,,A0,A0,0,3.0,1485.9784077640425
2025-01-14,MQDC1,71,1517.8890742159924,1551.7987025751927,1597.641992089068,acute,MQ,,,DC,D,1,1.0,1555.776589626751
2025-01-14,MQDC3,72,1781.2739485191378,1778.9841375451765,1750.607064860491,acute,MQ,,,DC,D,1,3.0,1770.2883836416015
2025-01-14,MQLT10,73,1847.1201670949235,1949.3732137726645,1855.7705523908442,longterm,MQ,10.0,12.0,OTC,,0,,1884.0879777528107
2025-01-14,STA0C3,74,1583.7352927917786,1542.3326427847767,1521.1594557033568,acute,St,,,A0C,A0,1,3.0,1549.075797093304
2025-01-14,MQC1,75,1677.8013193286163,1741.1198983835127,1674.1245284747797,acute,MQ,,,C,C,0,1.0,1697.681915395636
2025-01-16,MQB3,76,1575.6558877364264,1367.851120771005,1353.4930019305034,acute,MQ,,,B,B,0,3.0,1432.3333368126448
2025-01-16,MQAC2,77,4659.823062843199,1745.5254242532076,1721.7060810810826,acute,MQ,,,AC,A,1,2.0,2709.0181893924964
2025-01-16,STA02,78,1632.9469188529608,1668.053772256858,1655.6165540540555,acute,St,,,A0,A0,0,2.0,1652.205748387958
2025-01-16,STDC3,79,1308.297742525932,1338.799251272374,1306.2861969111982,acute,St,,,DC,D,1,3.0,1317.7943969031683
