cultivar,heat_level,test,date,replicate,control_mean_temp_c,otc_mean_temp_c,control_max_temp_c,otc_max_temp_c,control_pct_points_ge_40,otc_pct_points_ge_40,temp_diff_otc_minus_control,otc_gap_to_40_c
MQ,A,A3,2024-08-28,1,23.414049586776855,40.13950413223141,27.22,45.72,0.0,0.6776859504132231,16.725454545454554,0.13950413223140856
MQ,A,A3,2024-08-28,2,23.595619834710746,37.67016528925619,25.36,41.51,0.0,0.17355371900826447,14.074545454545444,-2.3298347107438104
MQ,A,A3,2024-08-28,3,23.427438016528928,40.01752066115702,25.24,44.22,0.0,0.6942148760330579,16.590082644628094,0.017520661157021777
MQ,B,B1,2024-08-07,1,19.29223140495868,34.46691666666666,21.4,41.62,0.0,0.05,15.174685261707982,-5.533083333333337
MQ,B,B1,2024-08-07,3,19.5499173553719,42.151074380165284,21.79,50.2,0.0,0.8016528925619835,22.601157024793384,2.1510743801652836
MQ,B,B2,2024-08-21,1,19.304462809917357,37.57454545454545,22.14,45.75,0.0,0.3140495867768595,18.270082644628094,-2.4254545454545493
MQ,B,B2,2024-08-21,2,18.891404958677686,34.754416666666664,20.85,40.32,0.0,0.008333333333333333,15.863011707988978,-5.245583333333336
MQ,B,B2,2024-08-21,3,18.60396694214876,38.69471074380165,20.84,44.59,0.0,0.4049586776859504,20.09074380165289,-1.3052892561983498
MQ,C,C1,2024-08-14,1,24.549453125,38.76960629921261,31.52,42.77,0.0,0.36220472440944884,14.220153174212612,-1.2303937007873884
MQ,C,C1,2024-08-14,2,23.97,39.66968503937008,29.35,42.8,0.0,0.5669291338582677,15.699685039370081,-0.33031496062992005
MQ,C,C1,2024-08-14,3,24.93188976377953,38.3275590551181,29.4,41.64,0.0,0.18110236220472442,13.39566929133857,-1.6724409448818989
St,A,A3,2024-08-28,1,20.856611570247935,34.27578512396694,21.6,40.73,0.0,0.008264462809917356,13.419173553719006,-5.724214876033059
St,A,A3,2024-08-28,2,21.848016528925616,38.42314049586777,22.58,43.25,0.0,0.3140495867768595,16.575123966942154,-1.57685950413223
St,A,A3,2024-08-28,3,22.268264462809917,37.70537190082645,22.95,41.68,0.0,0.15702479338842976,15.437107438016533,-2.2946280991735506
St,B,B1,2024-08-07,1,23.622741935483866,31.152926829268292,27.67,45.52,0.0,0.21951219512195122,7.530184893784426,-8.847073170731708
St,B,B1,2024-08-07,3,25.949435483870968,40.235,30.43,48.36,0.0,0.5887096774193549,14.285564516129032,0.23499999999999943
St,B,B2,2024-08-21,1,22.374876033057856,39.20669421487604,28.32,45.68,0.0,0.512396694214876,16.831818181818182,-0.7933057851239624
St,B,B2,2024-08-21,2,22.931900826446277,42.801083333333324,32.62,51.1,0.0,0.7916666666666666,19.869182506887046,2.801083333333324
St,B,B2,2024-08-21,3,25.041900826446284,37.012727272727275,34.04,44.93,0.0,0.2396694214876033,11.970826446280991,-2.9872727272727246
St,C,C1,2024-08-14,1,21.115371900826446,38.319083333333325,23.41,45.34,0.0,0.325,17.20371143250688,-1.6809166666666755
St,C,C1,2024-08-14,2,22.209333333333333,44.95041666666667,23.88,52.46,0.0,0.8583333333333333,22.741083333333336,4.950416666666669
St,C,C1,2024-08-14,3,22.218500000000002,36.959250000000004,24.1,45.1,0.0,0.175,14.740750000000002,-3.0407499999999956
